“海尔，这是阿包特·泰姆”这句台词出自哪款游戏？星际争霸2 
被成为“一生万物、万物归一者”的是 Yog-Sothoth 
香克斯

#29 《化物语》中穿着夏威夷衫的大叔的名字是？
忍野咩咩

#30 桐乃被选去欧洲当模特时，让谁假扮男朋友拒绝？
高坂京介

#31 有天朝野生哉叔之称的是？
冷泉夜月

#32 《轻音少女》中，第二年才加入轻音部的人是谁？
中野梓

#33 官方逼死了谁？
同人

#34 《西游记》中孙悟空被封为什么称号？
斗战胜佛 

#35 《魔法少女小圆》的动画监督是谁？
新房昭之

#36《某科学的超电磁炮》第一季于何时开始放送
2009年10月

#37 《我的朋友很少》中羽濑川小鸠的配音是谁？
花泽香菜

#38 小丑巴基经过了重重险境，终于加入了？!!!
王下七武海

#39 三国杀中有改判定能力的是
司马懿和张角

#40 炮姐喜欢的一种玩具的外形是什么？
小青蛙

#41 “WOW”一词是下列什么游戏的简称
魔兽世界

#42 樱兰高校男公关部中须王环的声优是谁
宫野真守

#43 毒蛇老外是谁？
gigguk

#44 电子计算机发明于哪一年？
1946年

#45 蝶舞の香蕉君的真名是？
Richardo Milos

#46 ANGEL BEATS里天使的HAND SONIC莲花状态是LEVEL几
4

#47 著名电子游戏《上古卷轴》是由哪家公司开发的？
Bethesda

#48 东方project中不死组指的是那对CP
妹红X辉夜

#49 在bilibili上up主头像边有闪电标识的代表什么意思
bilibili认证

#50 游戏区的mugen格斗平台当中,人物的分级标准不包括以下哪一项?
王 
#51 以下人物谁说过“There are more things in heaven and earth, Horatio, Than are dreamt of in your philosophy”一句？
不破爱花

#52 在「我的朋友很少」中，花泽香菜负责那个角色的配音?
羽濑川小鸠

#53 《魔兽世界》是哪个游戏公司出品的？
暴雪

#54 c3魔方少女》中可以变男变女的祸具是
萨文蕾提

#55 以下哪部机战作品并不是出在掌机上？
超级机器人大战OG2

#56 被称为神谷娘娘的是哪位声优？
神谷浩史

#57 声优冈本信彦所配的以下角色属于人类的是？
黒银零 

#58 《进击的巨人》中让·基尔希斯坦的声优是谁？
谷山纪章

#59 巡音的音源是谁？
浅川悠

#60 铃村健一的夫人是下列哪一位声优？
坂本真绫

#61 N64的发行商是？
任天堂

#62 以下人物中是中村悠一担当cv的是
冈崎朋也

#63 山下智久没有上过以下哪一部剧
魔王

#64 以下谁不是《魔法少女奈叶》中三巨头的配音？
堀江由衣 

#65 火焰之纹章中被称为马大饼的是谁？
马尔斯

#66 篮球员麦迪先生的同事奥登大帝，曾经在媒体面前看过什么漫画书？
灌篮高手

#67 游戏《刺客信条：解放》的发行时间是？(以主机版为准)
2012年10月30日

#68 下列哪位人物不是中二病患者？
长门有希

#69 《寒蝉鸣泣之时》里的女主角古手梨花的卖萌口癖
咪啪

#70 萨乌森·桑尼号上的冰箱密码是多少？
7326

#71 以下哪一个游戏在早期2D时代的第一部作品不是俯视角？
塞尔达传说

#72 大陆的《魔兽世界》最早是由哪个游戏运营商代理的？网易 第九城市 腾讯 盛大

#73 动画DVD销量单位为山本宽（Frt），一宽等于多少卷?
1Frt=883卷

#74 "想成为螃蟹(蟹になりたい！)”是谁的名言？
比利海灵顿

#75 宇多田光的<EXODUS>中与爱伦·坡的《乌鸦》有关的歌曲是哪一首？
（人生要学会放弃。。。）
#76 《叛逆的鲁鲁修》中的鲁鲁修在参与赌博时下的是什么棋？
国际象棋

#77 《犬夜叉》中犬夜叉的哥哥是谁？
杀生丸

#78 下列哪一个不是《仙剑奇侠传一》中的人物？
景天

#79 直到我膝盖中了一箭出自哪里
上古卷轴5

#80 被称为野生诹少的是？
蛇足

#81 奥特曼来自哪个星云？
m78

#82 无头骑士里MAMO配的角色
纪田正臣

#83 白熊咖啡厅里面娘娘常喝什么
咖啡摩卡

#84 阿卡姆疯人院中，布鲁斯从哪里得到的小丑“派对”名单？
（阿门！！！）

#85 剧场版《魔法少女奈叶 The MOVIE 1st》中，奈叶的SLB威力有多大？
（核弹毛豆没查到。。）

#86 以下哪个游戏不是saga planets的作品
さくら、咲きました

#87 硝基盐酸为什么能溶解金？
配位

#88 瑞典国王古斯塔夫二世被称为“现代军事之父”，他因为哪场战争而享负盛名？
三十年战争

#89 《Angel Beats!》中的天使的武器是？
Handsonic

#90 动画术语中的“OST”是什么意思？
原声音乐集

#91 下面那个缩写，与动画音乐无关？
OVA

#92 妖精的旋律女主真正的名字是？
露西

#93 《灼眼的夏娜》里维持坂井悠二存在的宝具名叫？
零时迷子

#94 只会做炒饭的王是什么王？（三个字）
（你中奖了）

#95 动画机动战士高达中，吉恩共和国的创始人的谁？
吉恩 戴肯

#96 一个物体从40m的高处自由下落，下落多少米后该物体的动能和重力势能相等？
20

#97 动画《Angel Beats!》中，参加卒业式的成员共有几人？
5人

#98 《樱花庄的宠物女孩》中的女主角叫什么名字？
椎名真白

#99 《圣斗士星矢》的作者是谁？
车田正美

#100 这个世界上不存在奇迹，有的只是必然与偶然，以及谁做了什么。此话出自什么动漫？
悠久之翼（EF系列) 
#1 名言是“真相只有一个”，被戏称为“死神小学生”的是？
江户川柯南 

#2 在动漫《游戏王》中，暗游戏的真实身份是？ 
法老王 

#3 兵库北（打一CV名字）
花泽香菜

#4 在游戏《魔兽争霸3》中，玩家可选择的种族有多少个？ 
4 

#5 世界第一初恋中高野政宗原名叫什么？
嵯峨政宗

#6 （），你一定不懂吧。括号里的名字是？ 
心叶 

#7 路飞的生日是日本的什么节？
儿童节

#8 以下哪部游戏设备拥有裸眼3D功能？
3DS 

#9 新世纪福音战士新剧场版现在已经放映几部了？
（现在5部）

#10 wow中被称为小芊芊的职业是
盗贼

#11 《物语》中小忍的胖次是什么? 
创可贴

#12 洛克人X系列登场的两位主角中，红色的思考型机器人叫什么名字？
ZERO

#13 在minecraft中俗称JJ怪的怪物原名叫什么？
爬行者（Creeper）

#14 父母分别为AB型血和O型血，则孩子的血型不可能是（）
AB和O 

#15 柯南和基德的人物形象，哪个出现的早 
基德，以前有其他作品 

#16 团战可以输，____必须死？ 
提莫

#17 "不反抗就不会死,为什么就是不明白" 这话出自哪部动画？ 
机动战士高达 Z 

#18 罪恶王冠男主的名字
樱满集 

#19 阳炎project中的主人公叫什么名字 
如月伸太郎 

#20 绫波丽驾驶的是EVA几号机？
零号机

#21 太2真人给灵珠子转世起的名字是？
李狗蛋

#22 【K】中伏见叫八田什么
Misaki

#23 《文学少女》中《渴望死亡的小丑》中“小丑”指的是谁 
井上心叶

#24 《地球防卫少年》又名？ 
我们的

#25 所罗门王戒指上的铭文是什么？ 
一切都会过去。 
#26 以下哪种说法是错误的？ 
钉宫理惠没有巨乳角色

#27 第五使徒的名字叫？
雷天使 

#28 泽城美雪和花泽香菜声线都很特别，赢得众宅男的心，以下4部动漫，哪一部没有同时出现美雪姐和香菜？
红

#29 下列哪个角色不是关智一配音的？
基拉·大和

#30 下面哪个不是11区声优“御三家”之一？ 
花泽香菜

#31 《只有神知道的世界》中男主角的掌机是？
PFP 

#32 在B站大家是怎么称呼【泪腺战士】这个up主的？
岚少

#33 养鸡党与养女党之争围绕的是哪部动画？
真实之泪 

#34 缺乏感情的死板配音被称作什么？
棒读 

#35 DOTA里能减伤害的技能是以下哪个？
幽灵船

#36 小说《灼眼的夏娜》作者是？
高桥弥七郎 

#37 是谁提出“感应电流的磁场总是要阻碍引起感应电流的磁通量的变化”? 楞次 

#38 炎发灼眼的讨伐者是指谁 
夏娜 

#39 《风之圣痕》的主角八神和麻已故的恋人名叫什么？
翠铃 

#40 《电脑线圈》中的沙奇(Search Mutton)，是甚麼？
病毒驱除程式

#41 海贼王中索隆怎么评价CP9
动物园 

#42 以下哪一个不是国产游戏？
空之轨迹

#43 香港漫画《海虎》里，白次男被敌人抓住、快要被基头四OO时，最后叫出来的台词。
师傅，救我！

#44 神隐之狼中，可以令神人暴走的是什么？
蜜 

#45 下列哪种姿势是新房监督的动画的代表？
转头45°

#46 以下作品哪个不是虚渊玄的剧本
大图书馆的牧羊人 

#47 《无头骑士异闻录》里的静雄的配音是谁？
小野大辅

#48 miku的生日是什么时候？
8月31日 

#49 以下哪一个不是<玉响>的圣地？
福岛 

#50 《中二病也要谈恋爱》中女主角小鸟游六花对自己眼睛的中二称呼是？
邪王真眼 
#51 宫野真守给以下哪些人物配过音？
夜神月、须王环、纪田正臣 

#52 游戏《幻世录1》中女主角蒂娜二转之后的称号叫什么？
精灵使

#53 《科学超电磁炮》中的御坂美琴的声优是谁？
佐藤利奈

#54 人们一般称科学的电磁炮里面的佐天泪子会第四波动，这是跟哪部动漫的联动？
needless 

#55 《奇诺之旅》中主角拥有的第一把说服者是？
卡农（？）

#56 《Q弟侦探因幡》中黑手党的boss是什么东西
山羊

#57 以下不属于钉宫理惠配音的动漫角色是？
凉宫春日

#58 Fate里凛利用士郎投影而制造出的宝石剑Zelretch属于五大魔法中的哪一个
第二法，平行空间干涉

#59 DOTA装备"林肯法球"源自哪个war3物品？
施魔护盾 

#60 PSYCHO-PASS的中文译名是？
心理测量者 

#61 假面骑士W里面主角翔太郎没有的记忆体是 
bomb 

#62 《我们的存在》中最后矢野元晴为什么去了东京？
搬家

#63 白熊君的青梅竹马是谁？
灰熊

#64 西比拉系统的真面目其实是什么？
由许多免罪体质者的大脑组成的系统

#65 float d=3.1415926;printf("%.2f",d); 
3.14

#66 下列哪一位不是常见的DOTA视频解说
反犬

#67 《地狱少女》中的仙太郎的配音是谁？
丰永利行 

#68 “非凡哥”的名字是？
梁非凡

#69 谁可以算是谷口悟朗，渡边信一郎，今西隆志三人的师傅 
（不知道，按年龄可能是富野由悠季或高桥良辅（高是二代矢立肇），这些人都与高达有关）

#70 寒蝉里龙宫礼奈惯用的武器是？
柴刀 

#71 游戏《上古卷轴》里最经常中箭的地方是？
膝盖

#72 以下哪项不属于诺贝尔奖的范畴？
数学（叫你抢人女友）

#73 夏目友人帐里老师的名字是？
アサギ（名字叫斑（まだら）怎么办）

#74 邪王真眼的拥有者
小鸟游六花

#75 被称为幻想乡的记忆的是谁 
稗田阿求
#76 唯夏织发表的《Our Steady Boy》被用作哪部动画的片尾曲
kiss×sis 

#77 国产RPG单机游戏古剑奇谭一代的副标题是什么？
琴心剑魄今何在 

#78 阿姨说~阿姨说~这句空耳歌词的原文意义是什么？ 
卸载（uninstall O__O”…）

#79 下列人物中与其他三位有明显不同的是
鸣海孝之（因为很欠揍吗） 

#80 APH的专用舞姬是谁？
（又中奖了，奖励跳过一次）

#81 我（）都脱了，你就给我看这个
裤子

#82 《热血高校》中的山田孝之扮演谁? 
芹泽多摩雄

#83 犬夜叉、L、工藤新一、怪盗基德、kuma（p4g）配音是谁？
山口胜平

#84 《Call of Duty Online现代战争》中什么技能可以补给玩家弹药？
拾荒者 

#85 Operation Skuld出自哪部动画？
Steins;Gate

#86 犬夜叉的配音是？
山口胜平

#87 氷の妖精是谁 
琪露诺

#88 初音ミク的发行日期是？ 
2007年8月31日 

#89 下列哪个不是同人界著名的以电波卖萌为主的音乐社团
舞风(MAIKAZE) 

#90 著名的美国芝加哥Sears塔楼的结构属于什么体系？
成束筒体系 

#91 请问以下哪个角色与《回转企鹅罐》中高仓晶马的配音是同一人？
《黑子的篮球》黄濑凉太

#92 人民群众有口皆碑的“老湿”一般指
矢吹健太朗

#93 《魔笛MAGI》中梶裕贵配音的角色是谁？
阿里巴巴

#94 世界第一初恋中高野政宗的生日是哪天 
12月24日

#95 《摇曳百合》中京子喜爱的冰淇淋口味是什么？ 
朗姆酒葡萄干 

#96 “阿姨洗铁路”的梗出自哪个动画？
创圣大天使 

#97 biu一下就死了出自那个网络游戏？
WOW

#98 现任巫妖王是谁？ 
伯瓦尔

#99 以下哪一款RPG（角色扮演游戏）属于WRPG（欧美角色扮演游戏）？
博德之门 

#100 游戏生化危机5的男主角叫什么
克里斯雷德菲尔德（Chris Redfield 
#1 FateZero中，Saber的真实身份是？
亚瑟王

#2 动画《境界线上的地平线》中葵·托利的俗称是？
裸王

#3 k-on动画里MIO的贝斯外号是什么
伊丽莎白

#4 学园都市里排名第一的人的能力是？
一方通行

#5 零之使魔中露易丝在托里斯汀所打工的酒馆前身叫什么 
鳗鱼之睡床

#6 钉宫理惠没给哪个角色配过音？
结城明日奈

#7 单机游戏“风色幻想”系列中哪一代有飞行船？
风色幻想SP

#8 以下人物哪个哪个不属于创价四天王？
男子部之石川

#9 男なら 谁かのために强くなれ这句歌词出自哪部奥特曼
奈克瑟斯奥特曼(我竟然去看了视频。。。)

#10 K-ON中平泽唯说琴吹紬的眉毛是什么? 
腌萝卜

#11 《我的朋友很少》中的天才发明家叫做？？？
志熊理科

#12 下面的作品中哪个不属于东映御三家？
圣斗士星矢

#13 《CLANNAD》中，藤林杏的摩托车是什么颜色的？
白色

#14 花泽香菜失散多年的哥哥们是谁
Linkin Park

#15 动漫《叛逆的鲁路修》中，日本在灭亡后被改称为？
11区

#16 世界第一的公主殿下指的是谁？
初音未来

#17 神大人桂木桂马第一个攻略的女生是谁？
高原步美

#18 人妻声优门脇舞以的马甲是？
杏子御津

#19 炎之妖精松冈修造以前做过什么运动员？
网球运动员

#20 东方中百合CP“双七”指的是？
帕爱

#21 动漫中出了很多本子的女性角色我们一般叫她们什么？
女绅士

#22 传说中料理中的极品，杀人旅行之必备良药是？
黑暗料理

#23 《南家三姐妹》中，南千秋的声优是谁？
茅原实里

#24 以下哪部动漫不属于“民工漫”？
冰果（火影，海贼，死神典型代表）

#25 <psycho-pass>中执法使用的武器是什么
支配者

#26 下面哪家厂商不是手办御三家之一
KOTOBUKIYA

#27 死神中哪位队长确定死亡？
市丸银

#28 玉响的故事背景是在哪个城市? 奈良市 宇都宫市 竹原市 京都市

#29 《Another》中的见崎鸣有哪一项特徵? 
眼罩

#30 战场原黑仪的声优是？
斋藤千和

#31 团长大人的后宫中那位成员的身高最矮？
朝比奈实玖瑠

#32 音乐风格被称为「炸厕所」的p主是？
suzumu

#33 中二病也要谈恋爱中，六花一直想要寻找的是
不可视境界线

#34 东方心绮楼是东方Project的第几作？
13.5

#35 麻将中哪种牌的张数是28张？
字牌 

#36 只会做炒饭的王是什么王？（三个字）
比利王（就蒙一个给你T_T）

#37 《刀剑神域》中的亚丝娜的配音演员是谁
户松遥

#38 《JOJO奇妙冒险》中空条承太郎的替身使者的名字叫什么？
白金之星

#39 《冰菓》中远垣内将司为什么在社团门外安装红外线收发装置？
不让人发现他在屋里抽烟（哭了T_T自己去看了小说找的）

#40 神话中，以下哪一位不是争夺金苹果的女神？
厄里斯

#41 《Fate/ZERO》中第二季中的片头曲和插入曲由谁演唱？ 
Kalafina

#42 美国动画公司"迪士尼"，没有参与制作的是
罗宾逊

#43 《凉宫春日的惊愕》中带着微笑发卡的女子真实身份是什么？
凉宫春日的另一个自己

#44 阿尔萨斯在拿到霜之哀伤并成功转职成死亡骑士之前的职业是？
圣骑士

#45 桂木桂马自封的称号是？
攻略之神

#46 以下的角色中谁不会时间停止？
桐谷和人 

#47 以下哪个不是高级程序设计语言 
汇编语言

#48 “自古枪兵幸运e”出自哪部动漫 
fate

#49 EVA新剧场版中真希波玛丽眼镜镜框的颜色是
红色

#50 《名侦探柯南》中工藤新一是被灌下代号为什么的毒药致使身体缩小的？APTX-4869（哈哈，做这题有快感） 
#51 《火影忍者》中纲手是第几代火影？
5

#52 圣石小子中莉莎的墓碑坐标是什么?
3173

#53 《科学超电磁炮》中白井黑子所属第几风纪委员支部？
风纪委员活动第177支部

#54 化物语中，女主战场原黑仪是在什么地方向男主阿良良木历告白的？
(虽然好像很好找，但是没找到)

#55 光年为光在真空中一年内行经的距离，这里的一年为？
365天5小时48分

#56 灵梦什么东西掉得多
符纸

#57 《fate stay night》中，伊莉雅是士郎的??
干姐姐

#58 下面哪个不是Nintendo家的
PSP

#59 大炮巨舰主义指的是
戯画

#60 动漫刀剑神域游戏sao到第几层才通关的？
76层

#61 刀剑神域的男主角是谁？
桐谷和人

#62 《Q弟侦探因幡》中，聪明先生所依附的玩偶是什么？
山羊

#63 以下哪个系列的发行商不是Ubisoft（育碧）
孤岛危机系列

#64 夏亚·阿兹纳布尔享有绰号是其下的哪一个？
红色彗星

#65 《戏言》中的策师名叫什么？
萩原子荻（视力4.0要命啊）

#66 《樱花庄的宠物女孩》中青山七海的梦想是成为什么？
声优

#67 《命运石之门》一台关键性的电脑的型号是？
IBM5100

#68 空条Q太郎在JOJO里出场了多少部？
4部

#69 《darker than black》中以下哪一位是doll? 
银

#70 下面哪一部作品不算在“钉宫四萌”中？
绯弹的亚里亚

#71 C语言中，如果ar是个数组，那么表达式ar[i]与什么等价？
*(ar+i)

#72 “大家啊，请成为我的翅膀吧。”这句话是谁说的？
早乙女有人

#73 银河英雄传说中男主角杨威利是如何死亡的 
被地球教刺客刺杀

#74 汞的元素符号是？
Hg

#75 十六夜咲夜的能力是……？
操纵时间 
#76 东方系列中青蛙子的全名是
泄矢诹访子

#77 在街机中下列不属于格斗类游戏的是哪一项？
合金弹头

#78 潘多拉之心主人公的名字是?
奥兹

#79 夏亚在《夏亚的逆袭》中的机体名称为？
沙扎比

#80 《文学少女》系列轻小说每一部都映射一本名著，请问：第二卷——渴求真爱的幽灵 映射的是那一本名著？
呼啸山庄

#81 十万个冷笑话里的大娃是怎么“扑街”的？
作死

#82 刺客信条主角之一的Ezio Auditore da Firenze的生日是
1459年6月24日 1459年2月14日 （自己选一个吧，很可能是夏天）

#83 《JOJO奇妙冒险》第二部的男主是？
乔瑟夫乔斯达

#84 那个整天挖鼻屎的天然卷死鱼眼的baka武士的名字是？
坂田银时

#85 宅男们向往的日本动漫圣地是那里？
秋叶原

#86 《三国杀》中，郭嘉属于的势力是？
魏

#87 欺诈偶像女主角是AKB48中谁扮演的
渡边麻友

#88 “galgame”是指哪一类游戏? 
恋爱冒险游戏

#89 高达uc EP6的BGM是谁创作？
泽野弘之

#90 御坂美琴的三围是多少？格式（XX/XX/XX） 
78/56/79

#91 《狼与香辛料》的作者是谁？
支仓冻砂

#92 香港漫画《老夫子》中，不包含的角色有 
陈小姐

#93 DOTA地图的作者是谁？
冰蛙

#94 赛罗是谁的儿子？
赛文

#95 法国香菜出自哪部动漫？
Infinite Stratos

#96 《钢之炼金术师》中爱德华·艾尔利克的配音是谁
朴璐美

#97 轻音中的哪个人物有自己的后援团？
秋山澪

#98 starry sky星座彼氏的双鱼座声优是?
杉田智和

#99 以下哪位没有被人称作过王？
兰斯洛特 

#100 《スカイクラッドの観测者》与哪部作品有关?
Steins;Gate 
#1 下列哪个角色的CV与初音未来的声源是同一个人
伊波真昼

#2 以下谁不曾出演过多部大河剧
堤真一

#3 《高达seed》基拉大和最初机体是哪架？
强袭高达

#4 女性躲在电线杆后面尾行时，电线杆上应该写【____专用】
吉田

#5 网游魔兽世界中，资料片《燃烧的远征》曾被戏称为？
特别迟

#6 游戏《魔兽世界》中,德鲁伊不能变身为
牛

#7 银魂中秉着微笑的杀人礼节的人是？
夜兔神威

#8 不具备吸血鬼萌属性的是
白娅·杜·罗德·赫尔梅尼姆

#9 以下哪位人物不属于东方心绮楼自机？
东风谷早苗

#10 EVA著名的屋岛作战中，主角们对阵的使徒是？
雷天使

#11 动漫（雪之少女）泽渡真琴，的口头禅是什么
啊呜

#12 银河美少年《StarDriver》中，反派见面时冒出的弹幕是
（/(ㄒoㄒ)/~~去你妹啊）

#13 下列哪部作品不出自《少年JUMP》及其附属杂志？
妖精的尾巴

#14 肥料掺了____，一袋能顶两袋撒
金坷垃

#15 2003娘，或称2K3娘，是哪个公司公司推出的的拟人化萌娘。
微软

#16 声优女王是谁？
林原惠

#17 下列谁没有担任《机动战士高达V》的机设
安彦良和

#18 车辚辚,马萧萧_______。后面一句是什么？
行人弓箭各在腰。

#19 海贼王中司法岛一役与草帽海贼团交锋的团队是什么？
CP9

#20 《邻座的怪同学》中水谷雫最初的梦想是什么？
年收入一千万

#21 以下哪个是《海贼王》中MR.3的真名
贾尔迪诺

#22 动漫《海贼王》中，主角路飞最初的海贼船的名字是？
黄金梅丽号

#23 《文学少女》中《沉陷过往的愚者》中“愚者”指的到底是谁
芥川一诗

#24 我妻由乃 最常使用的武器是？
斧头

#25 金庸系列武侠著作中，习得“九阳神功”的主角是谁？
张无忌 
#26《天降之物》β是谁？
妮姆芙

#27 以下哪个角色是声优江口拓也所役?
轻音少女中的店员

#28 在《凉宫春日的忧郁》中杉田智和配音的角色是谁？
阿虚

#29 《食梦者》中苍树红本名是？
青木优梨子

#30 V家角色 RIN 和 LEN 的关系是？
（官方设定是从镜子里反射的异性，不过很多人都把他们认为是姐弟。百度知道）

#31 游戏《爱丽丝疯狂回归》出自于哪一个工作室？
麻辣马工作室

#32 虽然我可爱又迷人，但我会招来__。
死亡

#33 兵库北的天气怎么样？
雨 19℃ 60%/40% 24岁 

#34 伊吹美奈裳提到的私奔出自哪本书
（已超鬼）

#35 初代萌王的声优是？
丹下樱

#36 络缲茶茶丸的启动时间是什么时候？
2001年6月5日

#37 《数码暴龙交错战争》中工藤大器的搭档是谁？
Shoutmon

#38 白熊咖啡厅里面白熊的当rap歌手时的艺名叫什么？
469MA

#39 游戏《Minecraft》是由哪家公司开发的？
Mojang

#40 以下选项中,哪个不是对网游《坦克世界》中S系坦克歼击车704工程顶级炮的称呼？
百合⑩

#41 刺客信条2主角的名字是
Ezio

#42 凹透镜可能对 
虚物成正立放大的实像 

#43 下列哪一个不属于物语系列
囧物语

#44 bilibili的名字来源是？
御坂美琴的外号

#45 克苏鲁神话中当人看到邪神后什么会下降
理性值

#46 《犬夜叉》中的破魔之箭是谁的技能？
桔梗

#47 下面哪部是著名CV葛平的代表作
蓝猫

#48 “你们都是我的翅膀”的出处是？
超时空要塞Frontier

#49 重力战线中联邦军61式坦克的主炮口径
155毫米

#50 石蕗惠汰,羽濑川小鹰,须贺京太郎,大路饼藏四人的共同点[不]包括
声优均为1980年之后出生
#51 《少女与战车》中的呆妹子丸山沙希的CV是谁？
小松未可子

#52 《火影忍者》中漩涡鸣人的声优是谁？
竹内顺子

#53 网游《天龙八部》中哪一个门派的坐骑是鹤？
武当

#54 以下乱码语哪个代表曹操
变巨

#55 《AIR》片头曲‘鸟の诗’的作曲者是谁？
折戸伸治

#56 fate系列中，爱因兹贝尔家族争夺圣杯是为了恢复？
第三法

#57 《蜡笔小新》里，野原新之助的妹妹叫什么？
野原葵

#58 滑头鬼之孙二代的名字是？
奴良鲤伴

#59 命运石之门中椎名まゆり去世的亲人是
奶奶

#60 《Fate/Zero》的音乐监督是谁？
梶浦由记

#61 以下哪部作品没有得过这本轻小说真厉害排行榜的第一？
龙与虎

#62 以下哪一个能力名不是出自于《魔法禁书目录》&《某科学的超电磁炮》？
死线之蓝

#63 钉宫四萌哪个出现的最早
夏娜

#64 以下哪个英文缩写表示回合策略类游戏？
RTS

#65 《化物语》中的男主角是谁？
阿良良木历

#66 《K》中夜刀神狗朗的武士刀的名字是？
理

#67 空之境界中与阴性人格式相反的阳性人格是?
织

#68 制作东方系列的被称为神主的是？
ZUN

#69 银河英雄传说中，杨威利不流血攻占伊谢尔伦要塞是第几次攻略战？
第七次

#70 洛克人ZERO中率领斩影军团的四天王是谁？
漆黑的幻影~潘恩托姆

#71 Angel Beats中音无结弦的妹妹叫什么
音无初音

#72 vocaloid歌爱ユキ的老师是？
冰山清辉

#73 那种巧克力棒在B站最流行？
一本满足

#74 2012年世萌钻石头环的获得者是谁
御坂美琴

#75 “我的XX可是突破天际的XX”中XX指的是什么
钻头
#76 注明台词“我很好奇！（私、気になります！）”出自哪部作品
冰菓（-_-|||）

#77 数码宝贝嘉儿的哥哥叫什么？
八神太一

#78 炎の妖精是谁
松冈修造

#79 国服英雄联盟里的时光守护者的名字是什么？
基兰

#80 《魔法禁书目录》中茵蒂克丝的配音是谁？
井口裕香

#81 在《鬼泣3》中但丁的双枪的正确名称是？
黑檀木&白象牙

#82 《游戏王系列》中第四代主人公的形象化身是哪种动物？
龙虾

#83 游戏《生化危机1》的第一女主角是谁？
吉尔·瓦伦蒂安

#84 TH07是？
东方妖妖梦

#85 AIDS的全称是什么?
获得性免疫缺陷综合征

#86 《犬夜叉》中犬夜叉所使用的兵器名叫什么？
铁碎牙

#87 宫永咲：“____真开心啊！”
打麻将

#88 PSYCHO-PASS中泽城美雪配音的人物是？
唐之杜志恩

#89 非洲哥为什么需要金坷垃？
非洲农业不发达

#90 不是niconico御三家的是?
黑塔利亚

#91 DOTA中大招是时间结界的英雄叫什么
虚空假面

#92 南家三姐妹中大姐叫什么名字
南春香

#93 以下哪位不是《刺客信条》系列的主人公
George Washington

#94 英雄传说：零之轨迹中银的真实姓名是？
莉夏·毛

#95 草帽海贼团的厨师是谁？
香吉士

#96 多啦A梦的胡须有多少根
6根 (为什么有点不放心呢-_-#)

#97 以下动画中哪一个不是肉番？
真实之泪

#98 《中二病也要恋爱！》小鸟游六花“姐姐的声优”是谁？
仙台惠理

#99 你为什么不问问______呢？
神奇海螺

#100 手机游戏《兄贵草泥马》中LV.11的草泥马有多少个头
6个 
#1 10-11赛季英超联赛中，曼联的最贵引援是
斯莫林

#2 普莉兹姆利巴姐妹一共为几人？
4人

#3 金坷垃好处都有啥（下一句话
谁说对了就给他

#4 被称为“炮姐”的是哪位人物
御坂美琴

#5 以下哪个角色的声优与其他三位不同？
丹生谷森夏

#6 机动战士高达独角兽可以写为？
机动战士高达UC

#7 《化物语》中吸血鬼忍野忍最爱吃的甜点是？
甜甜圈

#8 《lucky star》中最傲娇的是谁？
柊镜

#9 DMSO的中文名称是？
二甲基亚砜

#10 《使命召唤：现代战争》中，与麦克米兰一起执行任务的是谁？
普莱斯


#11 当天空出现了鱼鳞云(透光高积云)，下列哪种天气现象会发生？
降雨

#12 怪物猎人3G的封面怪是哪一只？
碎龙

#13 自古枪兵幸运_
E

#14 游戏王5ds中“蟹哥”是谁的外号？
不动游星

#15 以偶像组合AKB48为原型创作的动画是什么？
《AKB0048》

#16 《神探伽利略》中汤川教授是帝都大学的（）准教授？
物理学

#17 金坷垃三人组分别是来自哪三个地区或国家？
美日非

#18 观众们最喜欢和安蕾丝干什么？
聊天

#19 动漫《刀剑神域》中亚丝娜的角色歌歌名为？
My Independent Destiny


#20 以下哪个人最早在作品里将上海称为“魔都”？
虚渊玄

#21 小说《3年Z组银八先生》中银魂高校校长是本篇中的?
登势

#22 下列哪场战役发生在1942年？
勒热夫-瑟乔夫卡战役

#23 Q弟侦探因幡主角是？
因幡洋

#24 《虫之歌》中狮子堂戌子绰号是？
小狗

#25 《光晕》系列中士官长一类的改造人被称为____战士？
精英 
#26 日本剑圣宫本武藏的自创的武术是什么？
二天一流

#27 动漫《Highschool Of the Dead》，一般中文名叫做？
学校默示录

#28 哪位声优上过日本红白歌合战？
水树奈奈

#29 新番《我的后宫很多NEXT》中的“郭德纲”特指谁？
羽濑川小鹰

#30 渡边淳一所写的一本小说——遥远的落日 其中主人公是谁？
野口英世

#31 以下哪款游戏不是Roguelike类型游戏？
《Dungeons & Dragons》

